,v(A),r(AXII)(Å),r(AVI)(Å),EN(A),EN(B),l(A-O)(Å),l(B-O)(Å),tG,τ,μ,Lowest distortion
26,0.5,0.7244897959183677,0.6952380952380954,0.06493506493506496,0.2222222222222221,0.6651297240627638,0.4068646050763527,0.394183629729953,0.4865918168584358,0.7750000012250005,orthorhombic
27,0.5,0.7244897959183677,0.6952380952380954,0.06493506493506496,0.4206349206349207,0.6651297240627638,0.01674736976001112,0.9183931953642115,0.5276629715365094,0.0,orthorhombic
28,0.5,0.7244897959183677,0.6952380952380954,0.06493506493506496,1.0,0.6651297240627638,0.0,0.7680092419532101,0.46679847342582337,0.19999999930000012,cubic
29,0.5,0.7244897959183677,0.6952380952380954,0.06493506493506496,0.18253968253968256,0.6651297240627638,0.4014494862560887,0.662669539987375,0.44557076895235714,0.34999999965000006,cubic
30,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.6587301587301588,0.26329983641442967,1.0,0.3397042857833541,0.07411227568789142,0.4250000015750002,orthorhombic
31,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.8571428571428574,0.26329983641442967,0.2512638440478221,0.6224965313622071,0.010540601856018572,0.0,orthorhombic
32,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.015873015873015928,0.26329983641442967,0.7041940945794423,0.16558809788465245,0.6765058259816823,0.7249999987750004,cubic
33,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.6190476190476191,0.26329983641442967,0.24868416762228795,0.5691160791601346,0.0011453753082711349,0.07500000192500011,orthorhombic
34,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.4444444444444444,0.26329983641442967,0.28872750605375685,0.5516749426316254,0.0,0.10000000139999998,orthorhombic
35,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.09523809523809523,0.26329983641442967,0.6866085231475751,0.11156936812856477,0.4367638695290903,0.8250000001750002,cubic
36,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.11111111111111105,0.26329983641442967,0.6800059789978885,0.1383428457874616,0.36965051162186846,0.7750000012250005,cubic
37,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.0793650793650793,0.26329983641442967,0.8196093515209495,0.05938957198335082,0.5966090832637251,0.9250000015750004,orthorhombic
38,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.5793650793650795,0.26329983641442967,0.3418656498580752,0.5003724759715418,0.002400506943899927,0.17499999982500003,orthorhombic
39,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.5634920634920637,0.26329983641442967,0.30837145964565993,0.5516749426316254,0.0,0.10000000139999998,tetragonal
40,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.15873015873015883,0.26329983641442967,0.3794158143487092,0.4021440565143992,0.5205376622261788,0.32500000017499997,orthorhombic
41,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.10317460317460314,0.26329983641442967,0.6907490382899462,0.12489790291559189,0.4022373636095915,0.8000000007000003,cubic
42,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.5396825396825398,0.26329983641442967,0.5413385472031691,0.26484751817937857,0.14972702240740265,0.5499999989500002,orthorhombic
43,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.8730158730158732,0.26329983641442967,0.35473798834272596,0.534405640776848,0.51775474116082,0.12500000087500007,cubic
44,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.13492063492063489,0.26329983641442967,0.624049743110441,0.17939155921352778,0.282574489372197,0.6999999993000001,orthorhombic
45,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.3571428571428572,0.26329983641442967,0.5713789617968015,0.5003724759715418,0.002400506943899927,0.17499999982500003,orthorhombic
46,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.8412698412698416,0.26329983641442967,0.058835153017328334,0.4342602092032033,0.019145088126217125,0.275000001225,orthorhombic
47,0.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.39682539682539697,0.26329983641442967,0.28199842458847524,0.5173056447081517,0.56104844233725,0.15000000035000016,orthorhombic
48,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.6428571428571428,0.26329983641442967,0.48215944818959633,0.5867316296836842,0.003275975513834739,0.050000002450000025,orthorhombic
49,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.9761904761904765,0.26329983641442967,0.8310479729168625,0.2943781678348021,0.5617544439942176,0.5000000000000002,orthorhombic
50,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.8730158730158732,0.26329983641442967,0.39973597906839675,0.5516749426316254,0.520671757181445,0.10000000139999998,orthorhombic
51,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.023809523809523725,0.26329983641442967,0.8013315690308991,0.1933177148223324,0.6440859752849339,0.6749999998250003,cubic
52,0.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.6349206349206349,0.26329983641442967,0.32631404332457237,0.6224965313622071,0.5997632330145952,0.0,cubic
53,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.9365079365079365,0.26329983641442967,0.3444271143130173,0.46699695884688897,0.008832722259844383,0.22500000227500006,orthorhombic
54,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.8730158730158732,0.26329983641442967,0.3677577916857291,0.5516749426316254,0.520671757181445,0.10000000139999998,orthorhombic
55,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.753968253968254,0.26329983641442967,0.44462801131860674,0.32445568764358423,0.0869489161966529,0.45000000105000004,orthorhombic
56,1.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.2063492063492065,0.26329983641442967,0.44296637600220645,0.3397042857833541,0.07411227568789142,0.4250000015750002,orthorhombic
57,0.5,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.6825396825396826,0.26329983641442967,0.41290584167112154,0.4342602092032033,0.5155111124677143,0.275000001225,orthorhombic
58,0.0,0.4897959183673469,0.2666666666666667,0.7987012987012988,0.31746031746031744,0.26329983641442967,0.28435861088835823,0.5173056447081517,0.56104844233725,0.15000000035000016,orthorhombic
